"GeneID","Module"
"ENSG00000101972","blue"
"ENSG00000101974","blue"
"ENSG00000102007","turquoise"
"ENSG00000102034","turquoise"
"ENSG00000102081","yellow"
"ENSG00000102096","blue"
"ENSG00000102119","blue"
"ENSG00000102144","green"
"ENSG00000102145","red"
"ENSG00000102158","turquoise"
"ENSG00000102189","brown"
"ENSG00000102226","turquoise"
"ENSG00000102265","blue"
"ENSG00000102317","pink"
"ENSG00000102401","green"
"ENSG00000102524","blue"
"ENSG00000102572","blue"
"ENSG00000102580","yellow"
"ENSG00000102710","blue"
"ENSG00000102753","turquoise"
"ENSG00000102780","blue"
"ENSG00000102786","turquoise"
"ENSG00000102858","black"
"ENSG00000102871","yellow"
"ENSG00000102879","brown"
"ENSG00000102882","blue"
"ENSG00000102893","yellow"
"ENSG00000102908","turquoise"
"ENSG00000102910","blue"
"ENSG00000102921","turquoise"
"ENSG00000102974","turquoise"
"ENSG00000103024","blue"
"ENSG00000103035","turquoise"
"ENSG00000103051","yellow"
"ENSG00000103056","magenta"
"ENSG00000103061","blue"
"ENSG00000103091","brown"
"ENSG00000103111","turquoise"
"ENSG00000103148","red"
"ENSG00000103150","turquoise"
"ENSG00000103168","turquoise"
"ENSG00000103187","turquoise"
"ENSG00000103194","turquoise"
"ENSG00000103199","blue"
"ENSG00000103266","yellow"
"ENSG00000103274","blue"
"ENSG00000103275","brown"
"ENSG00000103313","turquoise"
"ENSG00000103342","red"
"ENSG00000103363","black"
"ENSG00000103381","brown"
"ENSG00000103415","turquoise"
"ENSG00000103429","yellow"
"ENSG00000103479","blue"
"ENSG00000103490","blue"
"ENSG00000103495","green"
"ENSG00000103496","turquoise"
"ENSG00000103502","turquoise"
"ENSG00000103507","purple"
"ENSG00000103510","magenta"
"ENSG00000103522","brown"
"ENSG00000103540","yellow"
"ENSG00000103550","green"
"ENSG00000103569","turquoise"
"ENSG00000103642","turquoise"
"ENSG00000103653","turquoise"
"ENSG00000103657","turquoise"
"ENSG00000103769","yellow"
"ENSG00000103811","turquoise"
"ENSG00000103978","blue"
"ENSG00000103994","brown"
"ENSG00000104064","blue"
"ENSG00000104093","green"
"ENSG00000104131","turquoise"
"ENSG00000104133","turquoise"
"ENSG00000104164","turquoise"
"ENSG00000104205","green"
"ENSG00000104312","yellow"
"ENSG00000104320","blue"
"ENSG00000104324","turquoise"
"ENSG00000104343","turquoise"
"ENSG00000104365","turquoise"
"ENSG00000104388","yellow"
"ENSG00000104408","blue"
"ENSG00000104419","purple"
"ENSG00000104442","blue"
"ENSG00000104447","turquoise"
"ENSG00000104517","turquoise"
"ENSG00000104518","brown"
"ENSG00000104522","red"
"ENSG00000104529","blue"
"ENSG00000104643","yellow"
"ENSG00000104660","yellow"
"ENSG00000104687","turquoise"
"ENSG00000104689","turquoise"
"ENSG00000104714","turquoise"
"ENSG00000104763","turquoise"
"ENSG00000104765","red"
"ENSG00000104805","turquoise"
"ENSG00000104814","turquoise"
"ENSG00000104824","magenta"
"ENSG00000104852","turquoise"
"ENSG00000104856","blue"
"ENSG00000104870","green"
"ENSG00000104892","red"
"ENSG00000104894","turquoise"
"ENSG00000104903","black"
"ENSG00000104904","black"
"ENSG00000104915","brown"
"ENSG00000104957","green"
"ENSG00000104964","turquoise"
"ENSG00000104969","turquoise"
"ENSG00000104973","red"
"ENSG00000104979","turquoise"
"ENSG00000104998","yellow"
"ENSG00000105053","brown"
"ENSG00000105058","green"
"ENSG00000105122","turquoise"
